
Watchlist 'Inst 3 - scoring V2'																														
																														
Inst 3 - scoring V2																														
Symbol	Last	Prob.ITM	Industry	ROR	pct_5_Day_Chg	%Change	EXT Last	EXT %Chng	P/C Ratio	Quote Trend	MACD	Sub-Industry	mean revision	RSIWIlder	Sell%	VolvsNrml	IV+T	Flag	MarketAssessment	siganlstrehgt	MasterScoreColum	Overalll Score	InstStockSele	compositescore	UVA	Alpha Score	Equity Score	Supetrend1	Inst 33	Volume
AQN	6.32	<empty>	Multi-Utilities	<empty>	11.83	1.28%	6.29	0.80%	0.325	"instrument=AQN
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
"	0.01	Multi-Utilities	2.38	71.41	: 41.74	3.679	92	 	1	2	4	0	4	5	8	5	0	NaN	100	17,325,576
AXL	6.55	<empty>	Automobile Components	<empty>	5.65	0.00%	6.46	-1.37%	0.022	"instrument=AXL
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
"	0.14	Automotive Parts & Equipment	1.1	59.21	: 9.93	2.238	61	Bl	3	2	4	9	2	4	8	2.7	0	3	80	126,000
KODK	7.77	<empty>	Technology Hardware, Storage & Peripherals	<empty>	22.87	-0.26%	7.84	0.64%	0.137	"instrument=KODK
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
"	0.01	Technology Hardware, Storage & Peripherals	2.95	69	: 11.46	9.482	68	 	3	7	4	8	4	5	10	6.1	0	0	95	8,937,042
FIGS	8.5	<empty>	Textiles, Apparel & Luxury Goods	<empty>	14.61	-0.58%	8.49	-0.70%	0.113	"instrument=FIGS
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
"	0.17	Apparel, Accessories & Luxury Goods	1.98	66.15	: 38.73	2.675	30	 	3	2	4	8	4	5	9	4.7	0	NaN	100	5,950,299
BKD	9.38	<empty>	Health Care Providers & Services	<empty>	1.73	-0.53%	9.51	0.85%	0.447	"instrument=BKD
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
"	0.26	Health Care Facilities	2.04	67.87	: 8.14	1.714	44	Bl	3	2	3	8	3	5	8	2.4	0	0	100	123,881
MODG	10.61	<empty>	Leisure Products	<empty>	12.65	0.09%	10.6	0.00%	0.147	"instrument=MODG
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
"	0.06	Leisure Products	2.48	64.3	: 6.31	2.527	40	 	3	7	4	10	4	5	9	4.6	0	0	100	6,635,157
FSLY	11.66	<empty>	IT Services	<empty>	39.45	0.87%	11.5	-0.52%	0.309	"instrument=FSLY
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
"	0.42	Internet Services & Infrastructure	3.26	78.84	: 8.75	1.059	41	 	3	2	2	10	3	5	9	1.7	0	0	98	7,826,138
FLYW	13.56	<empty>	Financial Services	<empty>	1.8	0.15%	13.56	0.15%	0.904	"instrument=FLYW
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
"	0.14	Transaction & Payment Processing Services	0.56	53.06	: 10.62	0.889	60	 	3	0	3	0	0	0	7	0.1	4	0	80	2,655,712
TXG	15.25	<empty>	Life Sciences Tools & Services	<empty>	11.8	17.31%	15.21	17.00%	1.407	"instrument=TXG
trend=[null, GREEN_OVER_RED, GREEN, null, null, null, null, null, null, null]
headPointer=2
separatorPointer=2
currentSessionEndTime=Mon Nov 10 13:00:00 PST 2025
"	0.39	Life Sciences Tools & Services	2.59	64.86	: 0.6	2.918	44	Bl	3	7	3	10	4	5	9	4.4	4	0	98	7,829,720
MDU	20.98	<empty>	Gas Utilities	<empty>	8.97	0.38%	20.92	0.10%	1.41	"instrument=MDU
trend=[null, null, null, null, null, null, null, null, null, null]
headPointer=0
separatorPointer=-1
currentSessionEndTime=Wed Dec 31 16:00:00 PST 1969
"	0.59	Gas Utilities	2.71	77.91	: 12.3	1.467	37	 	3	2	3	8	0	4	8	0.6	0	NaN	95	60,208
